-1,15,63,36,72,42,29,-1
-1,79,70,47,89,06,18,-1
-1,29,89,10,09,08,21,-1
-1,22,17,05,29,76,87,-1
-1,11,40,63,05,21,32,-1
-1,41,54,59,67,13,01,-1
-1,62,38,19,46,55,13,-1
-1,66,23,55,79,73,56,-1
-1,50,38,08,39,70,64,-1
-1,90,82,35,20,39,81,-1
-1,46,56,90,43,81,18,-1
-1,88,73,35,77,40,45,-1
-1,66,78,84,61,18,90,-1
-1,26,40,53,66,48,51,-1
-1,86,50,56,30,66,34,-1
-1,35,74,18,63,52,89,-1
-1,26,39,55,32,33,15,-1
-1,70,69,75,52,85,12,-1
-1,13,03,46,59,57,58,-1
-1,06,51,89,71,20,02,-1
-1,01,13,30,74,29,12,-1
-1,84,39,78,60,86,83,-1
-1,67,74,57,80,45,79,-1
-1,49,82,47,17,39,64,-1
-1,57,86,50,68,29,73,-1
-1,09,35,58,70,75,86,-1
-1,09,46,14,13,48,02,-1
-1,18,10,55,87,66,63,-1
-1,03,82,43,26,55,05,-1
-1,36,87,18,75,28,60,-1
-1,81,17,27,05,22,43,-1
-1,23,46,65,20,13,16,-1
-1,63,27,83,13,78,58,-1
-1,61,12,11,21,13,53,-1
-1,08,27,45,12,29,47,-1
-1,19,75,15,50,77,86,-1
-1,30,82,74,88,26,22,-1
-1,14,42,46,02,68,88,-1
-1,03,78,45,41,74,60,-1
-1,71,08,06,31,57,72,-1
-1,48,32,07,19,47,20,-1
-1,72,19,45,23,70,55,-1
-1,21,26,24,40,78,72,-1
-1,25,82,68,31,70,40,-1
-1,26,15,20,31,40,56,-1
-1,39,41,40,80,31,48,-1
-1,69,31,66,60,70,22,-1
-1,77,90,56,13,57,01,-1
-1,23,81,55,05,38,25,-1
-1,23,03,67,65,39,49,-1
-1,14,61,10,51,30,20,-1
-1,48,59,84,29,06,87,-1
-1,78,13,87,89,12,73,-1
-1,35,89,17,71,46,20,-1
-1,67,63,39,02,80,23,-1
-1,27,59,57,21,90,86,-1
-1,59,60,68,37,81,31,-1
-1,61,74,38,50,90,65,-1
